"surface","prov","n"
"TORONTO","ON",3134575
"MONTREAL","QC",2617477
"CALGARY","AB",1731560
"EDMONTON","AB",1402600
"OTTAWA","ON",1131350
"VANCOUVER","BC",1073826
"WINNIPEG","MB",1062945
"QUEBEC","QC",957427
"MISSISSAUGA","ON",800841
"HAMILTON","ON",662910
"SURREY","BC",617401
"LONDON","ON",593446
"LAVAL","QC",590857
"BRAMPTON","ON",579719
"HALIFAX","NS",542699
"GATINEAU","QC",439592
"SASKATOON","SK",387296
"BURNABY","BC",358890
"MARKHAM","ON",336318
"KITCHENER","ON",332936
"LONGUEUIL","QC",332585
"REGINA","SK",324537
"WINDSOR","ON",315392
"NORTH YORK","ON",296063
"SHERBROOKE","QC",294757
"RICHMOND","BC",289257
"VICTORIA","BC",255927
"OAKVILLE","ON",251094
"LEVIS","QC",246942
"TROIS-RIVIERES","QC",243752
"BURLINGTON","ON",237757
"VAUGHAN","ON",236218
"SCARBOROUGH","ON",234568
"RICHMOND HILL","ON",231664
"KELOWNA","BC",230424
"OSHAWA","ON",220210
"LANGLEY","BC",207371
"NORTH VANCOUVER","BC",203843
"KINGSTON","ON",199270
"GUELPH","ON",190370
"COQUITLAM","BC",189441
"BARRIE","ON",185569
"ABBOTSFORD","BC",177980
"WATERLOO","ON",170684
"CAMBRIDGE","ON",170616
"ST. JOHN'S","NL",169347
"ETOBICOKE","ON",164966
"THUNDER BAY","ON",159596
"RED DEER","AB",158785
"SAGUENAY","QC",158200
"TERREBONNE","QC",157611
"WHITBY","ON",156002
"GREATER SUDBURY / GRAND SUDBURY","ON",154980
"NANAIMO","BC",152402
"SAINT-JEAN-SUR-RICHELIEU","QC",147496
"BRANTFORD","ON",143342
"KAMLOOPS","BC",140952
"LETHBRIDGE","AB",139314
"DRUMMONDVILLE","QC",135120
"SAINT-JEROME","QC",133725
"MILTON","ON",131706
"BROSSARD","QC",130065
"ST. CATHARINES","ON",128708
"DELTA","BC",127861
"NIAGARA FALLS","ON",126915
"CHILLIWACK","BC",126096
"AJAX","ON",124441
"MONCTON","NB",124326
"PETERBOROUGH","ON",121672
"NEW WESTMINSTER","BC",118319
"PRINCE GEORGE","BC",117606
"REPENTIGNY","QC",115955
"GRANBY","QC",114019
"PICKERING","ON",112250
"MAPLE RIDGE","BC",111395
"SAINT JOHN","NB",111112
"SAULT STE. MARIE","ON",109757
"AIRDRIE","AB",106080
"SARNIA","ON",105085
"FREDERICTON","NB",103072
"SAANICH","BC",101732
"CHATHAM-KENT","ON",100942
"MEDICINE HAT","AB",100678
"CAPE BRETON","NS",100342
"NEWMARKET","ON",99584
"SAINT-HYACINTHE","QC",98697
"SHAWINIGAN","QC",95329
"GRANDE PRAIRIE","AB",92006
"STRATHCONA COUNTY","AB",91380
"MIRABEL","QC",91057
"ST. ALBERT","AB",87239
"RIMOUSKI","QC",83637
"BELLEVILLE","ON",81488
"WELLAND","ON",81393
"KAWARTHA LAKES","ON",80498
"NORTH BAY","ON",79532
"VERNON","BC",78726
"VICTORIAVILLE","QC",78569
"CLARINGTON","ON",78546
"BRANDON","MB",78019
"PORT COQUITLAM","BC",77847
"BLAINVILLE","QC",76450
"SALABERRY-DE-VALLEYFIELD","QC",75614
"NEPEAN","ON",74574
"CORNWALL","ON",73513
"MASCOUCHE","QC",72687
"AURORA","ON",70026
"ROUYN-NORANDA","QC",69918
"CHATEAUGUAY","QC",68018
"WOODSTOCK","ON",67863
"LANGFORD","BC",67193
"SAINT-EUSTACHE","QC",66715
"CHARLOTTETOWN","PE",65103
"ST CATHARINES","ON",64755
"YORK","ON",64617
"PENTICTON","BC",64266
"NORFOLK COUNTY","ON",63018
"WOOD BUFFALO","AB",62904
"WEST VANCOUVER","BC",62630
"CALEDON","ON",62054
"SPRUCE GROVE","AB",61492
"SOREL-TRACY","QC",61118
"VAUDREUIL-DORION","QC",60033
"BOUCHERVILLE","QC",59357
"CAMPBELL RIVER","BC",57921
"DOLLARD-DES-ORMEAUX","QC",57154
"TIMMINS","ON",56226
"SAINT-GEORGES","QC",55148
"VAL-D'OR","QC",53884
"MOOSE JAW","SK",53323
"COCHRANE","AB",52971
"POINTE-CLAIRE","QC",52485
"INNISFIL","ON",52103
"MAGOG","QC",51960
"COURTENAY","BC",51860
"THORNHILL","ON",51227
"ORILLIA","ON",50563
"PRINCE ALBERT","SK",50507
"ORLEANS","ON",50366
"STRATFORD","ON",50351
"MISSION","BC",50193
"EAST YORK","ON",49790
"SAINT-LAURENT","QC",49559
"ALMA","QC",49268
"WEST KELOWNA","BC",48740
"DARTMOUTH","NS",48066
"HALTON HILLS","ON",46562
"THETFORD MINES","QC",46370
"ROCKY VIEW COUNTY","AB",46182
"SAINTE-THERESE","QC",46035
"SUDBURY","ON",45967
"PORT MOODY","BC",45864
"LEDUC","AB",45541
"HALDIMAND COUNTY","ON",45172
"WASAGA BEACH","ON",44695
"COLLINGWOOD","ON",44545
"QUINTE WEST","ON",43503
"WOODBRIDGE","ON",43305
"FORT ERIE","ON",43136
"SAINT-HUBERT","QC",42669
"MONTREAL-NORD","QC",42654
"SAINTE-JULIE","QC",41978
"SHERWOOD PARK","AB",41636
"DIEPPE","NB",41620
"CHAMBLY","QC",41499
"LASALLE","QC",41341
"NORTH COWICHAN","BC",41228
"WHITEHORSE","YT",41079
"FORT SASKATCHEWAN","AB",41007
"GEORGINA","ON",40926
"PARKLAND COUNTY","AB",40675
"ST. THOMAS","ON",40338
"SAINT-CONSTANT","QC",40196
"OKOTOKS","AB",39789
"JOLIETTE","QC",39639
"VERDUN","QC",39497
"SEPT-ILES","QC",39418
"BOISBRIAND","QC",39300
"WHITCHURCH-STOUFFVILLE","ON",38412
"LUNENBURG","NS",38276
"GLOUCESTER","ON",37843
"BROCKVILLE","ON",37732
"LASALLE","ON",37709
"WHITE ROCK","BC",37599
"SAINT-LAMBERT","QC",37483
"GRIMSBY","ON",37340
"WHISTLER","BC",37086
"CONCEPTION BAY SOUTH","NL",36998
"OWEN SOUND","ON",36978
"KANATA","ON",36927
"SAINT-LEONARD","QC",36817
"LA PRAIRIE","QC",36273
"RIVIERE-DU-LOUP","QC",36192
"ORANGEVILLE","ON",35924
"HUNTSVILLE","ON",35720
"LEAMINGTON","ON",35375
"FORT ST. JOHN","BC",34842
"COBOURG","ON",34764
"NEW TECUMSETH","ON",34342
"BELOEIL","QC",34272
"CANMORE","AB",34006
"MOUNT PEARL","NL",33937
"CRANBROOK","BC",33838
"CHESTERMERE","AB",33614
"BAIE-COMEAU","QC",33441
"PORT ALBERNI","BC",33276
"CHICOUTIMI","QC",33190
"BRANT","ON",32894
"SAINT-LIN-LAURENTIDES","QC",32488
"COTE-SAINT-LUC","QC",32422
"LAKESHORE","ON",32412
"DORVAL","QC",32356
"EAST GWILLIMBURY","ON",31988
"THOROLD","ON",31930
"L'ASSOMPTION","QC",31556
"WESTMOUNT","QC",31366
"MONT-TREMBLANT","QC",31154
"CANDIAC","QC",31021
"FORT MCMURRAY","AB",30898
"PORT COLBORNE","ON",30870
"AMHERSTBURG","ON",30634
"CAMROSE","AB",30623
"STONEY CREEK","ON",30505
"CORNER BROOK","NL",30264
"TINY","ON",30171
"BRACEBRIDGE","ON",29882
"PARADISE","NL",29843
"BRADFORD WEST GWILLIMBURY","ON",29790
"SALMON ARM","BC",29538
"TILLSONBURG","ON",29412
"TECUMSEH","ON",29207
"SAINT-CHARLES-BORROMEE","QC",28999
"RED DEER COUNTY","AB",28973
"JONQUIERE","QC",28953
"RIVERVIEW","NB",28760
"SAINT-AUGUSTIN-DE-DESMAURES","QC",28760
"PEMBROKE","ON",28727
"MONT-ROYAL","QC",28622
"SQUAMISH","BC",28602
"PARKSVILLE","BC",28524
"VARENNES","QC",28433
"ESQUIMALT","BC",28290
"PRINCE EDWARD COUNTY","ON",28172
"MAPLE","ON",28136
"SAINTE-ADELE","QC",28029
"COWANSVILLE","QC",28001
"MIRAMICHI","NB",27771
"ORO-MEDONTE","ON",27736
"CHATHAM","ON",27631
"MIDLAND","ON",27490
"MONT-SAINT-HILAIRE","QC",27324
"CENTRE WELLINGTON","ON",26996
"SYLVAN LAKE","AB",26808
"SWIFT CURRENT","SK",26767
"BEAUMONT","AB",26671
"SUMMERSIDE","PE",26195
"SAINTE-MARTHE-SUR-LE-LAC","QC",25948
"KINGSVILLE","ON",25909
"EDMUNDSTON","NB",25756
"YELLOWKNIFE","NT",25716
"YARMOUTH","NS",25625
"PORTAGE LA PRAIRIE","MB",25616
"STEINBACH","MB",25549
"LACHUTE","QC",25469
"PIERREFONDS","QC",25368
"L'ANCIENNE-LORETTE","QC",25348
"SAINT-SAUVEUR","QC",25299
"MATANE","QC",25299
"UXBRIDGE","ON",25275
"GASPE","QC",25239
"YORKTON","SK",25037
