"t","qc","n","qc_share"
"ST",3141,3150747,0.001
"RUE",2734496,2774744,0.985
"AVE",1461,2383454,0.001
"RD",3310,2104500,0.002
"DR",1547,1565889,0.001
"CRES",1172,871572,0.001
"AV",661708,667003,0.992
"BOUL",403630,406980,0.992
"CH",372034,395096,0.942
"CRT",172,330196,0.001
"PL",300,299893,0.001
"BLVD",49,291441,0
"WAY",0,240903,0
"LANE",401,232718,0.002
"HWY",1,169132,0
"ROUTE",113827,115295,0.987
"RANG",104643,104644,1
"CIR",216,90235,0.002
"TRAIL",203,67685,0.003
"LINE",10,67524,0
"CLOSE",0,62228,0
"PLACE",57344,57939,0.99
"TERR",80,52005,0.002
"BAY",0,46475,0
"SQ",28,25919,0.001
"MONTÉE",25339,25720,0.985
"PKY",0,24796,0
"GATE",32,24136,0.001
"PVT",16,22114,0.001
"GDNS",28,19045,0.001
"HTS",0,17959,0
"PK",97,17548,0.006
"GREEN",0,16546,0
"CROIS",14761,15542,0.95
"SIDERD",0,15512,0
"MEWS",0,14303,0
"GROVE",0,13433,0
"COMMON",0,13338,0
"MANOR",0,13038,0
"PT",14,11834,0.001
"COVE",0,11493,0
"RISE",0,10467,0
"VIEW",0,10265,0
"TSSE",9831,9831,1
"LANDNG",0,9526,0
"HILL",0,9351,0
"LINK",0,8495,0
"CÔTE",7879,7880,1
"RTE",759,7724,0.098
"CAR",7188,7188,1
"RIDGE",10,7039,0.001
"WALK",0,6724,0
"LOOP",0,6516,0
"QUAY",0,6115,0
"IMP",5891,5891,1
"PATH",0,5874,0
"ROW",9,5844,0.002
"ALLÉE",4192,5745,0.73
"WYND",0,5354,0
"PROM",4031,5276,0.764
"BEND",0,4646,0
"RUN",0,4346,0
"VILLAS",0,3740,0
"FRRTE",0,3426,0
"CRSSNG",0,3006,0
"ESTATE",0,2628,0
"HEATH",0,2576,0
"VILLGE",0,2404,0
"TLINE",0,2286,0
"CONC",212,2065,0.103
"ISLAND",0,2053,0
"EXTEN",0,2035,0
"CIRCT",1,1956,0.001
"PARADE",0,1860,0
"MALL",0,1417,0
"GLEN",0,1347,0
"CHASE",0,1268,0
"PSSGE",0,1254,0
"PTWAY",0,1229,0
"RLE",380,1228,0.309
"VISTA",0,1133,0
"DRVWAY",0,1032,0
"HOLLOW",0,1029,0
"LANEWY",0,1028,0
"SENT",942,942,1
"PLAZA",0,871,0
"MOUNT",0,775,0
"PRMNDE",36,755,0.048
"SUBDIV",0,677,0
"MEADOW",0,640,0
"WHARF",0,618,0
"ACRES",0,601,0
"WOODS",0,564,0
"PASS",0,549,0
"WOOD",0,500,0
"BYPASS",0,481,0
"GRNWAY",0,477,0
"CAPE",0,473,0
"ALLEY",5,452,0.011
"CERCLE",433,441,0.982
"COUR",385,409,0.941
"CREST",0,394,0
"CROSS",0,382,0
"CTR",0,378,0
"COURS",331,331,1
"END",0,323,0
"KEY",0,314,0
"DIVERS",0,299,0
"AUT",299,299,1
"POINTE",0,278,0
"LKOUT",0,248,0
"TURN",0,239,0
"FSR",0,227,0
"DESSTE",215,215,1
"VOIE",201,201,1
"HGHLDS",0,189,0
"DOWNS",0,189,0
"BEACH",0,181,0
"HARBR",2,175,0.011
"CNNCTR",0,143,0
"CRNRS",0,142,0
"WLKWAY",0,142,0
"REACH",0,132,0
"STROLL",0,114,0
"ESPL",27,113,0.239
"CRSSRD",0,108,0
"GLADE",0,107,0
"RDWAY",0,102,0
"GARDEN",0,102,0
"ACCESS",0,101,0
"QUAI",98,98,1
"DELL",0,91,0
"PASSGE",45,78,0.577
"ÎLE",77,77,1
"BLUFF",0,77,0
"GTEWAY",0,76,0
"VALE",0,73,0
"MAZE",0,72,0
"FOREST",0,64,0
"TRNABT",0,62,0
"KEEP",0,57,0
"KNOLL",0,48,0
"FRONT",0,44,0
"HAVEN",0,44,0
"CDS",0,42,0
"DRUNG",0,41,0
"DALE",0,37,0
"FIELD",0,35,0
"PLAT",8,34,0.235
"BAIE",0,32,0
"TRACE",0,31,0
"CROFT",0,30,0
"STRIP",0,28,0
"PEAK",0,25,0
"INLET",0,22,0
"TRNRND",0,19,0
"TRNPKE",0,15,0
"PORT",0,15,0
"ORCH",0,12,0
"TRTCRR",9,9,1
"BROOK",0,8,0
"FWY",0,7,0
"LAWN",0,7,0
"RG",0,7,0
"ABBEY",0,6,0
"GRNDS",0,5,0
"EXIT",0,5,0
"CORNER",0,4,0
"LMTS",0,4,0
"RTOFWY",0,3,0
"BYWAY",0,2,0
"MTN",0,1,0
"EXPY",0,1,0
