surface,canonical,lang
STREET,ST,en
STR,ST,en
ST,ST,en
AVENUE,AVE,en
AVE,AVE,en
AV,AVE,en
ROAD,RD,en
RD,RD,en
DRIVE,DR,en
DR,DR,en
CRESCENT,CRES,en
CRES,CRES,en
COURT,CRT,en
CRT,CRT,en
CT,CRT,en
PLACE,PL,en
PL,PL,en
BOULEVARD,BLVD,en
BLVD,BLVD,en
BLV,BLVD,en
BVD,BLVD,en
WAY,WAY,en
LANE,LANE,en
LN,LANE,en
HIGHWAY,HWY,en
HWY,HWY,en
CIRCLE,CIR,en
CIR,CIR,en
TRAIL,TRAIL,en
TRL,TRAIL,en
LINE,LINE,en
CLOSE,CLOSE,en
TERRACE,TERR,en
TERR,TERR,en
TER,TERR,en
BAY,BAY,en
SQUARE,SQ,en
SQ,SQ,en
PARKWAY,PKY,en
PKY,PKY,en
PKWY,PKY,en
GATE,GATE,en
PRIVATE,PVT,en
PVT,PVT,en
GARDENS,GDNS,en
GDNS,GDNS,en
GDN,GDNS,en
HEIGHTS,HTS,en
HTS,HTS,en
PARK,PK,en
PK,PK,en
GREEN,GREEN,en
SIDEROAD,SIDERD,en
SIDERD,SIDERD,en
MEWS,MEWS,en
GROVE,GROVE,en
COMMON,COMMON,en
COMMONS,COMMON,en
MANOR,MANOR,en
POINT,PT,en
PT,PT,en
COVE,COVE,en
RISE,RISE,en
VIEW,VIEW,en
LANDING,LANDNG,en
LANDNG,LANDNG,en
HILL,HILL,en
LINK,LINK,en
ROUTE,RTE,en
RTE,RTE,both
RIDGE,RIDGE,en
WALK,WALK,en
LOOP,LOOP,en
QUAY,QUAY,en
PATH,PATH,en
ROW,ROW,en
WYND,WYND,en
BEND,BEND,en
RUN,RUN,en
VILLAS,VILLAS,en
FRONTAGE,FRRTE,en
FRRTE,FRRTE,en
CROSSING,CRSSNG,en
CRSSNG,CRSSNG,en
ESTATE,ESTATE,en
ESTATES,ESTATE,en
HEATH,HEATH,en
VILLAGE,VILLGE,en
VILLGE,VILLGE,en
TOWNLINE,TLINE,en
TLINE,TLINE,en
CONCESSION,CONC,en
CONC,CONC,en
ISLAND,ISLAND,en
EXTENSION,EXTEN,en
EXTEN,EXTEN,en
CIRCUIT,CIRCT,en
CIRCT,CIRCT,en
PARADE,PARADE,en
MALL,MALL,en
GLEN,GLEN,en
CHASE,CHASE,en
PASSAGE,PSSGE,en
PSSGE,PSSGE,en
PATHWAY,PTWAY,en
PTWAY,PTWAY,en
VISTA,VISTA,en
DRIVEWAY,DRVWAY,en
DRVWAY,DRVWAY,en
